sourcePostId,sourceUrl,publishedAt,origin,brand,model,year,trim,mileage,engine,powerHp,consumption,transmission,drive,safety,interior,damage,vin,auctionDate,estimatedBidUsd,priceRub,customsRub,lot,calculationDate,photos,rawText
1646,https://t.me/AutoWorld_Georgia/1646,2026-03-03T10:08:28+00:00,,Atlas,,2021,максимальная,87 000kм,"2,0л",235.0,,АКПП,AWD,"""",кожа,,1V2BP2CA2NC503179,,,,,,03.03.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1646/main-1790168159554-main-1-898177ae.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1646/other-1790168160273-other-2-99e3fcd7.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1646/other-1790168161042-other-3-4c4abe57.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1646/other-1790168162037-other-4-cb6eaf7f.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1646/other-1790168162818-other-5-cdaac3f3.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1646/other-1790168163568-other-6-c29e4669.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1646/other-1790168164413-other-7-243ed0dc.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1646/other-1790168164995-other-8-13eaae23.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1646/other-1790168165767-other-9-00217bfd.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1646/other-1790168166340-other-10-c86609ad.jpg,"🔤
🔤
🔤
🔤
🔤
🔤
🌟
🍏
Atlas 09/21г.
✨
4️⃣
🤩
6️⃣
🔤
🔤
🔤
🔹
комплектация максимальная
SEL Premium
🔹
Пробег:
87 000kм
.
👍
🔹
Двигатель:
2,0л
на
235л.с
.
🐎
💨
🔹
Коробка:
АКПП
🔹
Привод:
AWD
🔹
Безопасность ""
100% завод
""
🔺
🛡
🔹
Салон кожа
🐄
🛋
, электронная панель, два ключа, панорама, 6 мест, ""капитанские"" кресла, эл.привод сидений и множество вспомогательных опций!
📜
История автомобиля
1V2BP2CA2NC503179
🔎
1501САТ
расчёт 03.03.2026г.
💵
78"
1657,https://t.me/AutoWorld_Georgia/1657,2026-03-07T11:36:28+00:00,,Tiguan,,2022,SE,32 400ml,"2,0л",184.0,,АКПП,AWD,"""",кожа,,3VV2B7AX0NM161011,,,,,,07.03.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1657/main-1790168167113-main-1-e6879d71.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1657/other-1790168167921-other-2-7e54f4d1.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1657/other-1790168168714-other-3-8d0f8926.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1657/other-1790168169462-other-4-af675864.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1657/other-1790168170023-other-5-6b2a511f.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1657/other-1790168170577-other-6-1d53db9b.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1657/other-1790168171148-other-7-90b790db.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1657/other-1790168171937-other-8-2f02e4c4.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1657/other-1790168172383-other-9-88eebc14.jpg,"🔤
🔤
🔤
🔤
🔤
🔤
🌟
🍏
Tiguan 08/22г.
✨
4️⃣
🤩
1️⃣
🔤
🔤
🔤
🔹
комплектация
SE
🔹
Пробег:
32 400ml
.
👍
🔹
Двигатель:
2,0л
на
184л.с
.
🐎
💨
🔹
Коробка:
АКПП
🔹
Привод:
AWD
🔹
Безопасность ""
100% завод
""
🔺
🛡
🔹
Салон кожа
🐄
🛋
, электронная панель
📜
История автомобиля
3VV2B7AX0NM161011
🔎
11MA2333021
расчёт 07.03.2026г.
💵
80"
1665,https://t.me/AutoWorld_Georgia/1665,2026-03-07T11:36:58+00:00,,,,,LS,30 600ml,"1,2l на 137HP",137.0,,CVT,передний,"""",текстиль,,KL77LFE21RC002920,,,,,,07.03.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1665/main-1790168173459-main-1-fcc89b96.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1665/other-1790168174398-other-2-d99aafd4.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1665/other-1790168175350-other-3-c50d0da3.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1665/other-1790168176262-other-4-7f121c83.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1665/other-1790168177057-other-5-2c300b9c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1665/other-1790168177822-other-6-0f0241f1.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1665/other-1790168178601-other-7-a68f1596.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1665/other-1790168179204-other-8-e9401aa6.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1665/other-1790168180025-other-9-4b22befe.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1665/other-1790168180982-other-10-1e57fd4c.jpg,"🔤
🔤
🔤
🔤
🔤
🔤
до
1⃣
6⃣
1⃣
🚀
🌟
🧩
Trax 02/23г.
🚗
✨
1️⃣
🤩
9️⃣
6️⃣
🔤
🔤
🔤
🔹
комплектация
LS
🔹
Пробег:
30 600ml
.
👍
🔹
Двигатель:
1,2l на 137HP
🐎
💨
🔹
Коробка:
CVT
🔹
Привод: передний
🔤
🔤
🔤
🔹
Безопасность ""
завод
""
🛡
🔹
Салон текстиль
🛋
📜
История автомобиля
KL77LFE21RC002920
🔎
78MА0009021ИС
расчёт 07.03.2026г.
💵
80"
1675,https://t.me/AutoWorld_Georgia/1675,2026-03-07T11:37:21+00:00,,,,,SE,45 400ml,"1,4l на 147HP",147.0,,АКПП-8,передний,"""",текстиль,,3VWC57BUXMM082276,,,,,,07.03.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1675/main-1790168181553-main-1-668e6e32.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1675/other-1790168182103-other-2-d34acd1e.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1675/other-1790168182671-other-3-e393737c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1675/other-1790168183244-other-4-b81b1c3b.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1675/other-1790168184012-other-5-de75a0eb.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1675/other-1790168184596-other-6-20654dba.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1675/other-1790168185152-other-7-e3158e02.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1675/other-1790168185782-other-8-3a3ba436.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1675/other-1790168186345-other-9-9e723afa.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1675/other-1790168186820-other-10-816a628f.jpg,"🔤
🔤
🔤
🔤
🔤
🔤
до
1⃣
6⃣
1⃣
🚀
🌟
🍏
Jetta 09/21г.
🚗
✨
1️⃣
🤩
7️⃣
6️⃣
🔤
🔤
🔤
🔹
комплектация
SE
🔹
Пробег:
45 400ml
.
👍
🔹
Двигатель:
1,4l на 147HP
🐎
💨
🔹
Коробка:
АКПП-8
🔹
Привод: передний
🔤
🔤
🔤
🔹
Безопасность ""
завод
""
🛡
🔹
Салон текстиль
🛋
📜
История автомобиля
3VWC57BUXMM082276
🔎
62MА1455021ИС
расчёт 07.03.2026г.
💵
80"
1697,https://t.me/AutoWorld_Georgia/1697,2026-03-17T20:56:06+00:00,,Tundra,,2024,1794 Edition 4x4 CrewMax 5.5 f,3 600km.,"3,4л на 389л.с.",389.0,,АКПП,AWD,"""100% завод""",кожа,,5TFMA5DB5RX166252,,,,,,17.03.2026,,"🔤
🔤
🔤
🔤
🔤
🔤
🌟
👛
Tundra 01/24г.
✨
8️⃣
🤩
1️⃣
3️⃣
🔤
🔤
🔤
🔹
комплектация 1794 Edition 4x4 CrewMax 5.5 f
🔹
Пробег:  3 600km.
❗️
👍
🔹
Двигатель: 3,4л на 389л.с.
🐎
💨
🔹
Коробка: АКПП
🔹
Привод:  AWD
🔹
Безопасность ""100% завод""
🔺
🛡
🔹
Салон кожа
🐄
🛋
, электронная панель, панорама, обзор-360....
📜
История автомобиля
5TFMA5DB5RX166252
🔎
74MA6328911
расчёт 17.03.2026г.
💵
82"
1707,https://t.me/AutoWorld_Georgia/1707,2026-03-18T08:15:10+00:00,,,,,,40 000мл.,"2,0l на 147HP",147.0,,CVT,передний,"""90% завод""",текстиль,,KMHLS4AG3PU561351,,,,,,18.03.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1707/main-1790168187708-main-1-639218a2.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1707/other-1790168188463-other-2-572f664a.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1707/other-1790168189269-other-3-35aa007c.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1707/other-1790168190212-other-4-203f4080.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1707/other-1790168191087-other-5-d8c48427.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1707/other-1790168191894-other-6-601b70e3.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1707/other-1790168192562-other-7-feb91899.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1707/other-1790168193411-other-8-5e16e27b.jpg | https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1707/other-1790168194193-other-9-3ae270a4.jpg,"🔤
🔤
🔤
🔤
🔤
🔤
до
1⃣
6⃣
1⃣
🚀
🌟
🥬
Elantra 01/04/23г.
🚗
✨
2⃣
🤩
1⃣
6⃣
🔤
🔤
🔤
🔹
Пробег:  40 000мл.
👍
🔹
Двигатель: 2,0l на 147HP
🐎
💨
🔹
Коробка: CVT
🔹
Привод: передний
😀
😀
😀
🔹
Безопасность ""90% завод""
🛡
🔹
Салон текстиль
🛋
📜
История автомобиля
👇
KMHLS4AG3PU561351
🔎
1603САТ1340
расчёт 18.03.2026г.
💵
83
теперь мы есть в МАХ
👇
https://max.ru/c/-71046904611051/AZz_1FdXcoU"
1717,https://t.me/AutoWorld_Georgia/1717,2026-03-19T03:57:11+00:00,,,,,Premium,45000km,"2,0l на 152HP",152.0,,CVT,полный,"""",комбинированный,,JF2GTABC2P8289916,,,,,,19.03.2026,,"🔤
🔤
🔤
🔤
🔤
🔤
до
1⃣
6⃣
1⃣
🌟
SUBARU
Crosstrek 11/22г.
🚗
✨
2️⃣
🤩
2️⃣
3️⃣
🔤
🔤
🔤
🔹
комплектация
Premium
🔹
Пробег:
45000km
👍
🔹
Двигатель:
2,0l на 152HP
🐎
💨
🔹
Коробка:
CVT
🔹
Привод: полный
🔤
🔤
🔤
🔹
Безопасность ""
завод
""
🛡
🔹
Салон комбинированный
🛋
,
📜
История автомобиля
JF2GTABC2P8289916
🔎
69MA0860121
расчёт 19.03.2026г.
💵
84
теперь мы в есть и в МАХ
👇
https://max.ru/c/-71046904611051/AZ0ENpcfYzc"
1726,https://t.me/AutoWorld_Georgia/1726,2026-03-19T04:27:59+00:00,,,,,LIMITED,59 200км,"2,0l на 145HP",145.0,,CVT,передний,,кожа,,,,,,,,19.03.2026,,"🔤
🔤
🔤
🔤
🔤
🔤
до
1⃣
6⃣
1⃣
лс
🚀
🌟
👛
C-HR 2022г.
🚗
✨
2️⃣
🤩
3️⃣
9️⃣
🔤
🔤
🔤
🔹
комплектация
LIMITED
🔹
Пробег:
59 200км
.
👍
🔹
Двигатель:
2,0l на 145HP
🐎
💨
🔹
Коробка:
CVT
🔹
Привод:  передний
🔤
🔤
🔤
🔹
Салон
кожа
🐄
🛋
🔎
67МА3209021
расчёт 19.03.2026г.
💵
84
Теперь мы есть и в МАХ
👇
https://max.ru/c/-71046904611051/AZ0EXOxJcTU"
1735,https://t.me/AutoWorld_Georgia/1735,2026-03-22T05:22:49+00:00,,SUBARU,Crosstrek (рест),2023,Premium,36000km,"2,0l на 152HP",152.0,,CVT,полный AWD,"""95% завод""",комбинированный,"""справа""",JF2GUADC2R8277410,23.03.2026,9500,2100000,,,21.03.2026,,"АУКЦИОН
на
23.03
.
🌟
SUBARU Crosstrek (рест) 07/23г.
🚗
✨
🤩
🤩
🤩
🤩
т. руб.
🔹
комплектация Premium
🔹
Пробег:  36000km
👍
🔹
Двигатель: 2,0l на 152HP
🐎
💨
🔹
Коробка: CVT
🔹
Привод: полный AWD
🔹
Безопасность ""95% завод""
🛡
🔹
Салон комбинированный
🛋
🔹
Повреждения ""справа""
📜
История автомобиля
JF2GUADC2R8277410
⚖️
🛎️
Торги 23.03.2026г.
+- 9500$ (расчетная ставка)
Цена в России под
🎼
+- 2,1 млн. руб.
🔎
1-98948795
расчёт 21.03.2026г.
💵
84
Присоединяйтесь к нам в МАХ
👇
https://max.ru/c/-71046904611051/AZ0OxKBYJeU"
1745,https://t.me/AutoWorld_Georgia/1745,2026-03-22T05:26:02+00:00,,Chevrolet,Trailblazer,2023,RS,32900ml,"1,3l на 155HP",155.0,,АКПП,передний FWD,,кожа,"""минимальные""",KL79MTSL9PB218907,24.03.2026,8000,1700000,,,22.03.2026,,"АУКЦИОН
на
24.03
.
🌟
Chevrolet Trailblazer 07/23г.
🚗
✨
🤩
🤩
🤩
🤩
т. руб
🔹
комплектация RS
🔹
Пробег:  32900ml
👍
🔹
Двигатель: 1,3l на 155HP
🐎
💨
🔹
Коробка: АКПП
🔹
Привод: передний FWD
🔹
Салон кожа
🛋
🔹
Повреждения ""минимальные""
📜
История автомобиля
KL79MTSL9PB218907
⚖️
🛎️
Торги 24.03.2026г.
+- 8000$ (расчетная ставка)
Цена в России под
🎼
+- 1,7 млн. руб.
🔎
1-98948795
расчёт 22.03.2026г.
💵
84
Присоединяйтесь к нам в МАХ
👇
https://max.ru/c/-71046904611051/AZ0T-flrSwA"
1755,https://t.me/AutoWorld_Georgia/1755,2026-03-22T11:09:20+00:00,,Volkswagen,Jetta,2021,максимальная SEL,33000km,"1,4l на 147HP",147.0,,АКПП-8,передний FWD,"""завод""",кожа,"""спереди""",3VWE57BU5MM096286,24.03.2026,9000,1800000,,,22.03.2026,,"АУКЦИОН на 24.03.
🌟
Volkswagen Jetta 11/21г.
🚗
✨
🤩
🤩
🤩
🤩
т.руб.
🔹
комплектация максимальная SEL
🔹
Пробег:  33000km
👍
🔹
Двигатель: 1,4l на 147HP
🐎
💨
🔹
Коробка: АКПП-8
🔹
Привод: передний FWD
🔹
Безопасность ""завод""
🔹
Салон кожа
🛋
🔹
Повреждения ""спереди""
📜
История автомобиля
👇
3VWE57BU5MM096286
⚖️
🛎️
Торги 24.03.2026г.
+- 9000$ (расчетная ставка)
Цена в России под
🎼
+- 1,8 млн. руб.
🔎
0-44185920
расчёт 22.03.2026г.
💵
84
Теперь и в МАХ
👇
https://max.ru/c/-71046904611051/AZ0VLdrCEK0"
1765,https://t.me/AutoWorld_Georgia/1765,2026-03-22T18:07:30+00:00,,,,,GT-Line,76900km,"2,0l на 150HP",150.0,,CVT,передний,"""",текстиль,,3KPF34AD6NE463317,,,,,,22.03.2026,,"🔤
🔤
🔤
🔤
🔤
🔤
до
1⃣
6⃣
1⃣
🌟
KIA Forte
02/22г.
🚗
✨
2️⃣
🤩
1️⃣
🔤
🔤
🔤
🔹
комплектация
GT-Line
🔹
Пробег:
76900km
👍
🔹
Двигатель:
2,0l на 150HP
🐎
💨
🔹
Коробка:
CVT
🔹
Привод: передний
🔤
🔤
🔤
🔹
Безопасность ""
завод
""
🛡
🔹
Салон текстиль
🛋
,
📜
История автомобиля
3KPF34AD6NE463317
0322ГТ2111
расчёт 22.03.2026г.
💵
85
теперь мы в есть и в МАХ
👇
https://max.ru/c/-71046904611051/AZ0YufdqA_4"
1775,https://t.me/AutoWorld_Georgia/1775,2026-03-25T03:53:30+00:00,США,RAM,1500,2025,Express 4X4 5'7 Box,320ml,3.0l на 420HP,420.0,,АКПП,полный AWD,,,"""минимальные""",1C6SRFGP6TN272734,25.03.2026,35000,6300000,,,24.03.2026,,"👤
👤
👤
👤
👤
👤
👤
на 25.03.
🌟
RAM 1500 11/25г.
‼️
🚗
✨
6️⃣
😀
3️⃣
💥
💥
💥
®️
🔹
комплектация Express 4X4 5'7 Box
🔹
Пробег:  320ml
👍
🔹
Двигатель: 3.0l на 420HP
🐎
💨
🔹
Коробка: АКПП
🔹
Привод: полный AWD
🔹
Повреждения ""минимальные""
📜
История автомобиля
1C6SRFGP6TN272734
⚖️
🛎️
Торги 25.03.2026г.
+- 35000$ (расчетная ставка)
Цена в России под
🎼
+- 6,3 млн. руб.
🔎
0-44394101
расчёт 24.03.2026г.
💵
82
Смотрите нас в МАХ
👇
https://max.ru/c/-71046904611051/AZ0jGL8-MGs"
1786,https://t.me/AutoWorld_Georgia/1786,2026-03-26T04:16:12+00:00,США,,,,TRX 4X4 5'7 Box,11071ml,"6.2l, V8, на 702HP",702.0,,АКПП,полный AWD,,,"""отсутствуют""",1C6SRFU94PN504582,30.03.2026,50000,8250000,,,26.03.2026,,"👤
👤
👤
👤
👤
👤
👤
на 30.03.
🌟
RAM 1500 TRX 2023г.
‼️
🚗
✨
8️⃣
😀
2️⃣
5️⃣
💥
💥
💥
®️
🔹
комплектация TRX 4X4 5'7 Box
🔹
Пробег:  11071ml
👍
🔹
Двигатель: 6.2l, V8, на 702HP
🐎
💨
🔹
Коробка: АКПП
🔹
Привод: полный AWD
🔹
Повреждения ""отсутствуют""
📜
История автомобиля
1C6SRFU94PN504582
⚖️
🛎️
Торги 30.03.2026г.
+-
50 000$
(расчетная ставка)
Цена в России под
🎼
+- 8,25 млн. руб.
🔎
0-43907720
расчёт 26.03.2026г.
💵
82
Смотрите нас в МАХ
👇
https://max.ru/c/-71046904611051/AZ0oJhSDb-U"
1796,https://t.me/AutoWorld_Georgia/1796,2026-03-26T04:26:01+00:00,США,RAM,1500 TRX,2023,TRX 4X4 5'7 Box,46700ml,"6.2l, V8, на 702HP",702.0,,АКПП,полный AWD,,,"""вандализм"", нет ключа",1C6SRFU97RN101635,31.03.2026,55000,8300000,,,26.03.2026,,"👤
👤
👤
👤
👤
👤
👤
на 31.03.
🌟
RAM 1500 TRX 08/23г.
🚗
✨
8️⃣
😀
3️⃣
💥
💥
💥
®️
🔹
комплектация TRX 4X4 5'7 Box
🔹
Пробег:  46700ml
👍
🔹
Двигатель: 6.2l, V8, на 702HP
🐎
💨
🔹
Коробка: АКПП
🔹
Привод: полный AWD
🔹
Повреждения ""вандализм"", нет ключа
📜
История автомобиля
1C6SRFU97RN101635
⚖️
🛎️
Торги 31.03.2026г.
+- 55 000$
(расчетная ставка)
Цена в России под
🎼
+- 8,3 млн. руб
.
🔎
1-97337335
расчёт 26.03.2026г.
💵
82
Смотрите нас в МАХ
👇
https://max.ru/c/-71046904611051/AZ0oS_CASR8"
1806,https://t.me/AutoWorld_Georgia/1806,2026-03-28T04:21:23+00:00,,KIA,Seltos,2023,S,73000km,"2,0l на 147HP",147.0,,IVT,передний  FWD,"""завод""",комбинированный,,KNDEU2AA1R7501920,,,,,,28.03.2026,,"🔤
🔤
🔤
🔤
🔤
🔤
до
1⃣
6⃣
1⃣
🌟
KIA Seltos 04/23г. (рест)
🚗
✨
2️⃣
🤩
4️⃣
🔤
🔤
🔤
🔹
комплектация S
🔹
Пробег:  73000km
👍
🔹
Двигатель: 2,0l на 147HP
🐎
💨
🔹
Коробка: IVT
🔹
Привод: передний  FWD
🔹
Безопасность ""завод""
🛡
🔹
Салон комбинированный
🛋
,
📜
История автомобиля
KNDEU2AA1R7501920
🔎
37МА1630121
расчёт 28.03.2026г.
💵
82
Смотрите нас на МАХ
👇
https://max.ru/c/-71046904611051/AZ0yde0MVTM"
1816,https://t.me/AutoWorld_Georgia/1816,2026-03-28T04:27:22+00:00,,KIA,Soul,2023,GT-Line,38500km,"2,0l на 147HP",147.0,,IVT,передний,"""",кожа,,KNDJ53AU2P7213770,,,,,,28.03.2026,,"🔤
🔤
🔤
🔤
🔤
🔤
до
1⃣
6⃣
1⃣
🌟
KIA Soul 04/23г.
🚗
✨
2️⃣
🤩
1️⃣
5️⃣
🔤
🔤
🔤
🔹
комплектация
GT-Line
🔹
Пробег:
38500km
👍
🔹
Двигатель:
2,0l на 147HP
🐎
💨
🔹
Коробка:
IVT
🔹
Привод: передний
FWD
🔹
Безопасность ""
95% завод
""
🛡
🔹
Салон кожа
🛋
,
📜
История автомобиля
KNDJ53AU2P7213770
🔎
04МА0668021
расчёт 28.03.2026г.
💵
82
Теперь и в МАХ
👇
https://max.ru/c/-71046904611051/AZ0yjPDMUt4"
1826,https://t.me/AutoWorld_Georgia/1826,2026-03-28T11:47:18+00:00,,Toyota,C-HR,2021,XLE,87500km,"2,0l на 150HP",150.0,,СVT,передний,"""",текстиль,,NMTKHMBX9MR138818,,,,,,28.03.2026,,"🔤
🔤
🔤
🔤
🔤
🔤
до
1⃣
6⃣
1⃣
🌟
Toyota C-HR 11/21г.
🏎
✨
2️⃣
🤩
3️⃣
3️⃣
🔤
🔤
🔤
🔹
комплектация
XLE
🔹
Пробег:
87500km
👍
🔹
Двигатель:
2,0l на 150HP
🐎
💨
🔹
Коробка:
СVT
🔹
Привод: передний
FWD
🔹
Безопасность ""
завод
""
🛡
🔹
Салон текстиль
🛋
,
📜
История автомобиля
NMTKHMBX9MR138818
🔎
2803АРГ1355
расчёт 28.03.2026г.
💵
82
Теперь и в МАХ
👇
https://max.ru/c/-71046904611051/AZ00TTc9Kds"
1834,https://t.me/AutoWorld_Georgia/1834,2026-03-28T12:27:11+00:00,,,,,"""",0 km,"2,0l на 150HP",150.0,,СVT,полный,"""",кожа,,,,,,,,28.03.2026,,"🔤
🔤
🔤
🔤
🔤
🔤
до
1⃣
6⃣
1⃣
🌟
Mazda CX-5 2025г.
🏎
✨
(Европа)
🔤
4️⃣
🤩
6️⃣
5️⃣
🔤
🔤
🔤
🔹
комплектация ""
Максимум
""
🔹
Пробег:
0 km
👍
🔹
Двигатель:
2,0l на 150HP
🐎
💨
🔹
Коробка:
СVT
🔹
Привод: полный
AWD
🔹
Безопасность ""
завод
""
🛡
🔹
Салон кожа
🛋
, панорама, музыка ""Bose""....
📜
История автомобиля
❤️
❤️
🥰
❤️
❤️
🔎
2803САГ1505
расчёт 28.03.2026г.
💵
82
Теперь и в МАХ
👇
https://max.ru/c/-71046904611051/AZ00h465cCw"
1838,https://t.me/AutoWorld_Georgia/1838,2026-03-29T08:57:49+00:00,,Peugeot,,2008,GT-line,0 km,"1,2l на 150HP",150.0,,АКПП-8,передний F,"""",кожа,,,,,,,,28.03.2026,https://storage.yandexcloud.net/viiversion-auto-sale-media/cars/autoworld-1838/main-1790168194804-main-1-2f63f141.jpg,"🔤
🔤
🔤
🔤
🔤
🔤
до
1⃣
6⃣
1⃣
🌟
Peugeot 2008 2022г.
🏎
✨
2️⃣
🤩
5️⃣
🔤
🔤
🔤
🔹
комплектация
GT-line
🔹
Пробег:
0 km
👍
🔹
Двигатель:
1,2l на 150HP
🐎
💨
🔹
Коробка:
АКПП-8
🔹
Привод: передний F
WD
🔹
Безопасность ""
завод
""
🛡
🔹
Салон кожа
🛋
, панорама
📜
История автомобиля
❤️
❤️
🥰
❤️
❤️
🔎
2803САГ1505
расчёт 28.03.2026г.
💵
82
Теперь и в МАХ
👇
https://max.ru/c/-71046904611051/AZ05tw2WOn8"
1840,https://t.me/AutoWorld_Georgia/1840,2026-03-31T03:39:51+00:00,США,Chevrolet,Trax,2023,LS,15700ml,"1.2l, на 137HP",137.0,,Автомат,передний,,,"""передний бампер""",KL77LFE26RC039610,31.03.2026,9000,1800000,,,31.03.2026,,"👤
👤
👤
👤
👤
👤
👤
на 31.03
🌟
Chevrolet Trax 04/23г.
‼️
🚗
✨
1️⃣
🤩
7️⃣
2️⃣
🔤
🔤
🔤
🔹
комплектация
LS
🔹
Пробег:
15700ml
👍
🔹
Двигатель:
1.2l, на 137HP
🐎
💨
🔹
Коробка:
Автомат
.
🔹
Привод: передний
FWD
🔹
Повреждения ""передний бампер""
📜
История автомобиля
KL77LFE26RC039610
⚖️
🛎️
Торги 31.03.2026г.
+- 9 000$
(расчетная ставка)
Цена в России (с ремонтом) под
🎼
+- 1,8 млн. руб.
🔎
1-78882745
расчёт 31.03.2026г.
💵
82
Теперь и в МАХ
👇
https://max.ru/c/-71046904611051/AZ1B6Xb0Gm0"
1850,https://t.me/AutoWorld_Georgia/1850,2026-04-01T03:16:14+00:00,,,,,🔹,0 km,дизель,147.0,,АКПП,полный,"""",,,,,,,,,31.03.2026,,"🔤
🔤
🔤
🔤
🔤
🔤
до
1⃣
6⃣
1⃣
🌟
Toyota Fortuner  2023г.
🚙
✨
4️⃣
🤩
9️⃣
5️⃣
🔤
🔤
🔤
🔹
комплектация
🔹
Пробег:
0 km
👍
🔹
Двигатель:
дизель
,
2,4l на 147HP
🐎
💨
🔹
Коробка:
АКПП
🔹
Привод: полный
AWD
🔹
Безопасность ""
завод
""
🛡
📜
История автомобиля
❤️
❤️
🥰
❤️
❤️
🔎
2803САГ1505
расчёт 31.03.2026г.
💵
82
Мы в МАХ
👇
https://max.ru/c/-71046904611051/AZ1HD8UWffU"
1852,https://t.me/AutoWorld_Georgia/1852,2026-04-01T07:19:32+00:00,,Mitsubishi,Eclipse Cross,2021,SE,59000 ml,"1,5l на 152HP",152.0,,CVT,полный,"""",кожа,,JA4ATWAA8NZ056884,,,,,,31.03.2026,,"🔤
🔤
🔤
🔤
🔤
🔤
до
1⃣
6⃣
1⃣
🌟
Mitsubishi Eclipse Cross 12/21г.
🏎
✨
2️⃣
🤩
1️⃣
7️⃣
🔤
🔤
🔤
🔹
комплектация
SE
🔹
Пробег:
59000 ml
👍
🔹
Двигатель:
1,5l на 152HP
🐎
💨
🔹
Коробка:
CVT
🔹
Привод: полный
AWD
🔹
Безопасность ""
завод
""
🛡
🔹
Салон кожа
🛋
📜
История автомобиля
JA4ATWAA8NZ056884
🔎
3103ГТ1736
расчёт 31.03.2026г.
💵
82"
